x,y,zx,zy,zxy,ncd
"AltitudeDiferença","Inseticidaaplicações",1391,984,2360,0.989216391085550
"AltitudeDiferença","Latitude",1391,2415,3825,1.007867494824016
"AltitudeDiferença","Longitude",1391,2431,3855,1.013574660633484
"AltitudeDiferença","Município",1391,1525,3034,1.077377049180328
"AltitudeDiferença","PREC1stQ",1391,865,2343,1.062544931703810
"AltitudeDiferença","PREC3stQ",1391,1230,2643,1.015815959741193
"AltitudeDiferença","PRECMAX",1391,1321,2749,1.026599568655644
"AltitudeDiferença","PRECMED",1391,1181,2622,1.035945363048167
"AltitudeDiferença","PRECMEDIAN",1391,956,2419,1.051761322789360
"AltitudeDiferença","PRECMIN",1391,841,2297,1.046728971962617
"AltitudeDiferença","PRECSOMA",1391,1690,3058,0.986390532544379
"AltitudeDiferença","PopulaçãoPlanejadaplm2",1391,1165,2651,1.068296189791517
"AltitudeDiferença","Produtividadekgha",1391,1846,3246,1.004875406283857
"AltitudeDiferença","ProdutorID",1391,1388,2813,1.024442846872753
"AltitudeDiferença","Produçãoton",1391,2042,3332,0.950538687561215
"AltitudeDiferença","Propósito",1391,1123,2642,1.092020129403307
"AltitudeDiferença","RAD1stQ",1391,1289,2699,1.013659237958303
"AltitudeDiferença","RAD3stQ",1391,1276,2687,1.014378145219267
"AltitudeDiferença","RADMAX",1391,1216,2637,1.021567217828900
"AltitudeDiferença","RADMED",1391,1246,2667,1.021567217828900
"AltitudeDiferença","RADMEDIAN",1391,1282,2691,1.012940330697340
"AltitudeDiferença","RADMIN",1391,1181,2568,0.997124370956147
"AltitudeDiferença","RADSOMA",1391,1824,3194,0.988486842105263
"AltitudeDiferença","Safra",1391,907,2422,1.089144500359454
"AltitudeDiferença","SemeaduraDecendio",1391,1059,2479,1.020848310567937
"AltitudeDiferença","SemeaduraFinal",1391,1509,2962,1.041086812458582
"AltitudeDiferença","SemeaduraInício",1391,1513,2967,1.041639127561137
"AltitudeDiferença","SemeaduraMes",1391,1037,2558,1.093457943925234
"AltitudeDiferença","SoloClasse",1391,1566,3105,1.094508301404853
"AltitudeDiferença","SoloRelevo",1391,1015,2413,1.005032350826743
"AltitudeDiferença","SoloTextura",1391,1112,2557,1.038820992092020
"AltitudeDiferença","TIPOMANEJO",1391,935,2447,1.086987778576564
"AltitudeDiferença","TMAX1stQ",1391,1279,2731,1.043853342918764
"AltitudeDiferença","TMAX3stQ",1391,1300,2744,1.038102084831057
"AltitudeDiferença","TMAXMAX",1391,1241,2711,1.056793673616103
"AltitudeDiferença","TMAXMED",1391,1293,2750,1.047447879223580
"AltitudeDiferença","TMAXMEDIAN",1391,1303,2750,1.040258806613947
"AltitudeDiferença","TMAXMIN",1391,1267,2732,1.053199137311287
"AltitudeDiferença","TMAXSOMA",1391,1921,3309,0.998438313378449
"AltitudeDiferença","TMED1stQ",1391,1220,2689,1.056074766355140
"AltitudeDiferença","TMED3stQ",1391,1200,2687,1.069015097052480
"AltitudeDiferença","TMEDMAX",1391,1214,2703,1.070452911574407
"AltitudeDiferença","TMEDMED",1391,1214,2682,1.055355859094177
"AltitudeDiferença","TMEDMEDIAN",1391,1234,2696,1.051042415528397
"AltitudeDiferença","TMEDMIN",1391,1258,2717,1.048885693745507
"AltitudeDiferença","TMEDSOMA",1391,1884,3268,0.996284501061571
"AltitudeDiferença","TMIN1stQ",1391,1223,2688,1.053199137311287
"AltitudeDiferença","TMIN3stQ",1391,1203,2679,1.061107117181884
